Adrenergic syndrome	C0274714
Respiratory distress	C0476273
keeping me awake	C0037317
Sleep disturbances	C0037317
Wakefulness	C0043012
meltdown	C0700361
Emotional distress	C0700361
no sleep	C0917801
Sleeplessness	C0917801
migraines	C0018681
Headache	C0018681
adderall binge	C0013146
Drug abuse	C0013146
exhausted	C0392674
Exhaustion	C0392674
numbness in my limbs	C0028643
Numbness	C0028643
headache	C0149931
Migraine Disorders	C0149931
acne	C0702166
Acne	C0702166
nervous wreck	C0003467
Anxiety	C0003467
allergic reaction	C0851444
Allergic conditions	C0851444
incapable of sleep	C0917801
Sleeplessness	C0917801
hooked on adderall	C0556446
Drug craving	C0556446
#hungry	C0020175
Hunger	C0020175
need cortisone shots for my knees	C0231749
Knee pain	C0231749
cant shut up for the whole day	C0859023
Talkativeness	C0859023
not eating	C0232462
Decrease in appetite	C0232462
Hypertrophy	C0020564
restlessness	C0856081
Restlessness aggravated	C0856081
wrecked my memory	C0233794
Memory impairment	C0233794
bad mood	C0022107
Irritable Mood	C0022107
I've been feeling better every day	C1510472
Drug Dependence	C1510472
spins	C0027497
Nausea	C0027497
LACKING SEVERELY IN SLEEP	C0917801
Sleeplessness	C0917801
muscular, joint, nerve pain	C0520962
Pain localised	C0520962
insomnia	C0393760
Initial insomnia	C0393760
expense of clear thinking	C0858899
Attention concentration difficulty	C0858899
couldn't taste anything	C0740425
Altered Taste	C0740425
Freaking out	C0424166
Social fear	C0424166
exhausted	C0392674
Exhaustion	C0392674
awake	C2830004
Somnolence	C2830004
withdrawal	C0087169
Withdrawal Symptoms	C0087169
pimples	C0241157
Pustule	C0241157
insomnia	C0917801
Sleeplessness	C0917801
rantful	C0022107
Irritable Mood	C0022107
moon face and 30 lbs in 6 weeks	C0043094
Weight Gain	C0043094
hurt really bad	C0030193
Pain	C0030193
clench my jaws	C0162298
Joint stiffness	C0162298
quiet	C0424166
Social fear	C0424166
worry	C0003467
Anxiety	C0003467
need cortisone shots for my knees	C0231749
Knee pain	C0231749
blurry vision both eyes	C0344232
Blurred vision	C0344232
Satan	C0034634
Rage	C0034634
knock me out	C2830004
Somnolence	C2830004
Swelling	C0038999
way too hyper	C0424295
Hyperactive behavior	C0424295
heart attack	C0018790
Cardiac Arrest	C0018790
itchy rash	C0497365
Rash generalised	C0497365
awake in the middle of the night for an hour or 2	C0393761
Middle insomnia	C0393761
angry	C0002957
Anger	C0002957
anxiety	C0030319
Panic Disorder	C0030319
fell asleep	C0541854
Daytime sleepiness	C0541854
still falling asleep	C0015672
Fatigue	C0015672
hysterical	C0424295
Hyperactive behavior	C0424295
brain fug	C0234428
Consciousness abnormal	C0234428
unstoppable	C0424295
Hyperactive behavior	C0424295
awake	C0455769
Energy increased	C0455769
pain in the pit of my stomach	C0221512
Stomach ache	C0221512
empty	C0011551
Depersonalization	C0011551
bulimia	C0006370
Bulimia	C0006370
Rage	C0034634
Feeling completely bonkers	C1443060
Feeling abnormal	C1443060
depression symptoms	C0086132
Depressive Symptoms	C0086132
tired	C2830004
Somnolence	C2830004
Middle insomnia	C0393761
anxious	C0003469
Anxiety Disorders	C0003469
made my bones brittle	C0005940
Bone Diseases	C0005940
alertness	C0043012
Wakefulness	C0043012
miserable	C0344315
Depressed mood	C0344315
focused	C0858899
Attention concentration difficulty	C0858899
eat like the literal beast that you feel	C0596170
Binge eating disorder	C0596170
calm	C0235195
Sedated state	C0235195
always sick	C0042963
Vomiting	C0042963
swollen	C0021368
Inflammation	C0021368
foot feel worse	C0016512
Foot pain	C0016512
bi polar	C0005586
Bipolar Disorder	C0005586
got meto the ceiling	C0235169
Excitability	C0235169
an empty brain	C0234428
Consciousness abnormal	C0234428
withdrawal	C0087169
Withdrawal Symptoms	C0087169
I want to overdose	C0424000
Feeling suicidal (finding)	C0424000
limbs are jumping on their own accord	C0037763
Spasm	C0037763
Spasm	C0037763
cranky	C0022107
Irritable Mood	C0022107
got me to the ceiling	C0455769
Energy increased	C0455769
got me in my feelings	C2939186
Disturbance in mood	C2939186
sleep deprived	C0917801
Sleeplessness	C0917801
makes me sweat so much	C0700590
Increased sweating	C0700590
Discontinuation symptoms	C0087169
Withdrawal Symptoms	C0087169
Depersonalization	C0011551
emotional wreck	C0085633
Mood swings	C0085633
thinning skin	C0037274
Dermatologic disorders	C0037274
lucid dreamer	C0344320
Vivid dreams	C0344320
is probably not meant to be taken everyday tbh	C1510472
Drug Dependence	C1510472
daily hip pain	C0162298
Joint stiffness	C0162298
sweatty	C0038990
Sweating	C0038990
feel ill and shitty 24/7	C1443060
Feeling abnormal	C1443060
I lost my Adderall so I fell asleep super quick	C2830004
Somnolence	C2830004
awake all the time	C0393760
Initial insomnia	C0393760
depression	C0011570
Mental Depression	C0011570
Drug Interactions	C0687133
dizziness	C0012833
Dizziness	C0012833
anxiety	C0003467
Anxiety	C0003467
lack of appetite	C1971624
Loss of appetite (finding)	C1971624
pain	C0030193
Pain	C0030193
awake	C0043012
Wakefulness	C0043012
urticaria	C0038999
Swelling	C0038999
I feel like the devil is living inside my brain, forcing me to think these bazaar thoughts	C0033975
Psychotic Disorders	C0033975
persistent painful erection	C0233973
Painful erection	C0233973
heart palpitations	C0919661
Heart alternation	C0919661
withdrawal.	C0087169
Withdrawal Symptoms	C0087169
soulless robot	C0270458
Psychotic depression	C0270458
60% of my success is due to taking Adderall	C0278079
Dependence psychological	C0278079
Vivid dreams	C0344320
Miss your Prozac dose	C0087169
Withdrawal Symptoms	C0087169
Irritable Mood	C0022107
makes me so damn bloated	C1291077
Abdominal bloating	C1291077
Headache	C0018681
weight loss	C0043096
Body Weight decreased	C0043096
hypomanic	C0233401
Psychiatric symptom	C0233401
Feeling abnormal	C1443060
prevents me from focusing	C0858899
Attention concentration difficulty	C0858899
to the ceiling	C0235169
Excitability	C0235169
bloated	C1291077
Abdominal bloating	C1291077
sleep-deprived	C0917801
Sleeplessness	C0917801
swollen from a bug bite	C0038999
Swelling	C0038999
It's 6 am and this adderall got me reevaluating my whole life	C0393761
Middle insomnia	C0393761
nervous wreck	C0004936
Mental disorders	C0004936
painful b..	C0520962
Pain localised	C0520962
Hyperactive behavior	C0424295
dizziness	C0012833
Dizziness	C0012833
energetic	C0455769
Energy increased	C0455769
got me to the ceiling	C0235169
Excitability	C0235169
weight loss	C0043096
Body Weight decreased	C0043096
Excitability	C0235169
withdrawals	C0087169
Withdrawal Symptoms	C0087169
#insomnia	C0917801
Sleeplessness	C0917801
psychotic break	C0338614
Psychotic episode	C0338614
paranoid	C1456784
Paranoia	C1456784
I have a heart attack	C0018801
Heart failure	C0018801
depressed	C0344315
Depressed mood	C0344315
hit by a train	C0030193
Pain	C0030193
got me to the ceiling	C0455769
Energy increased	C0455769
clean the house	C0600104
Obsessive compulsive behavior	C0600104
dizziness	C0012833
Dizziness	C0012833
lose the 10 lbs	C0043096
Body Weight decreased	C0043096
Excitability	C0235169
Still awake	C0043012
Wakefulness	C0043012
dry mouth	C0039971
Thirst	C0039971
Hallucinations	C0018524
wide awake yet again past 1:00 a.m	C0393760
Initial insomnia	C0393760
headaches	C0018681
Headache	C0018681
my appetite way up	C0232461
Increased appetite (finding)	C0232461
got me to the ceiling	C0235169
Excitability	C0235169
had me in my feelings	C2939186
Disturbance in mood	C2939186
feel terrible when I drink	C0151474
Alcohol intolerance	C0151474
effect the skin	C0152030
Skin irritation	C0152030
the pain feels worse	C0030193
Pain	C0030193
lazy days	C0015672
Fatigue	C0015672
withdrawal	C0087169
Withdrawal Symptoms	C0087169
feeling like the same day	C0917801
Sleeplessness	C0917801
got me to the ceiling	C0455769
Energy increased	C0455769
had me in my feelings	C2939186
Disturbance in mood	C2939186
feel like crap	C0011570
Mental Depression	C0011570
heart attack	C0018790
Cardiac Arrest	C0018790
night terrors	C0037320
Night Terrors	C0037320
fatigued	C0015672
Fatigue	C0015672
wrecking my sleep	C1262141
Poor quality sleep	C1262141
feeling like the same day	C0233632
Disturbance in thinking	C0233632
mad hallucinations	C0018524
Hallucinations	C0018524
run a little hotter	C0549385
Feeling of body temperature change	C0549385
tingling	C1504494
Tingling of extremity	C1504494
need sleep	C0917801
Sleeplessness	C0917801
pain	C0030193
Pain	C0030193
numb	C0028643
Numbness	C0028643
anxiety	C0003467
Anxiety	C0003467
zombie	C0011551
Depersonalization	C0011551
fell asleep	C2830004
Somnolence	C2830004
Sedated state	C0235195
Slightly itch	C0152030
Skin irritation	C0152030
I won't sleep	C0917801
Sleeplessness	C0917801
drowsiness	C0013144
Drowsiness	C0013144
anxiety	C0003467
Anxiety	C0003467
Antisocial behavior	C0233523
got me to the ceiling	C0455769
Energy increased	C0455769
sleepy	C0013144
Drowsiness	C0013144
Hunger	C0020175
migraines	C0018681
Headache	C0018681
Increased appetite (finding)	C0232461
intense yawns	C0043387
Yawning	C0043387
got me to the ceiling	C0455769
Energy increased	C0455769
numbness	C0221170
Muscular stiffness	C0221170
feeling good	C0233479
Elevated mood	C0233479
MY MIND IS GONE	C0338614
Psychotic episode	C0338614
sleep deprived	C0392674
Exhaustion	C0392674
knocked me out	C2830004
Somnolence	C2830004
Arthropod bite	C0853348
feeling awful	C1443060
Feeling abnormal	C1443060
depressive	C0011570
Mental Depression	C0011570
loneliness	C3536794
Sad mood	C3536794
bazaar thoughts	C0018524
Hallucinations	C0018524
1pm to 3am real quick	C0018524
Hallucinations	C0018524
had me in my feelings	C2939186
Disturbance in mood	C2939186
resting bitch face	C0022107
Irritable Mood	C0022107
neurotic mess	C0027932
Neurotic Disorders	C0027932
heart palpitations	C0030252
Palpitations	C0030252
wanted to vent	C0027497
Nausea	C0027497
asleep	C2830004
Somnolence	C2830004
mad	C0034634
Rage	C0034634
Weird full body electrical shocks	C0036974
Shock	C0036974
twitchy	C0027769
Nervousness	C0027769
has me like	C0424295
Hyperactive behavior	C0424295
got me in my feelings	C0235169
Excitability	C0235169
I can't fucking purge	C0006370
Bulimia	C0006370
permanent hallucinations	C0018524
Hallucinations	C0018524
I CANT SLEEP	C0393760
Initial insomnia	C0393760
full off of a cracker	C0232462
Decrease in appetite	C0232462
groggy	C0728899
Intoxication	C0728899
wide awake	C0393760
Initial insomnia	C0393760
withdrawal symptoms	C0152128
Drug withdrawal syndrome	C0152128
can't stop shaking	C0040822
Tremor	C0040822
Wide awake	C0917801
Sleeplessness	C0917801
Increased sweating	C0700590
get rid of the pain	C0030193
Pain	C0030193
sick	C0270458
Psychotic depression	C0270458
#help	C0004936
Mental disorders	C0004936
insomniac	C0393761
Middle insomnia	C0393761
Insomnia	C0393760
Initial insomnia	C0393760
insomnia	C0393761
Middle insomnia	C0393761
sweating bullets	C0700590
Increased sweating	C0700590
procrastinating	C0858899
Attention concentration difficulty	C0858899
acne	C0234894
Dermatitis acneiform	C0234894
GETTING HIGH	C0235146
Euphoric mood	C0235146
withdrawal symptoms	C0087169
Withdrawal Symptoms	C0087169
tired	C0015672
Fatigue	C0015672
thinking it was 8pm	C0233632
Disturbance in thinking	C0233632
cranky	C0022107
Irritable Mood	C0022107
withdrawals	C0152128
Drug withdrawal syndrome	C0152128
probs with my liver	C0151763
Liver damage	C0151763
can't feel limbs	C0028643
Numbness	C0028643
Rash	C0497364
Localized rash	C0497364
strengthens me	C0455769
Energy increased	C0455769
weight gain	C0043094
Weight Gain	C0043094
I'm up	C0541798
Early Awakening	C0541798
#insomnia	C0393760
Initial insomnia	C0393760
mean	C0022107
Irritable Mood	C0022107
have no choice but clean the house	C0600104
Obsessive compulsive behavior	C0600104
anxiety	C0030319
Panic Disorder	C0030319
gaining weight	C0043094
Weight Gain	C0043094
dry	C0039971
Thirst	C0039971
Hyperactive behavior	C0424295
wireddddddd	C0043012
Wakefulness	C0043012
sleepy	C0541854
Daytime sleepiness	C0541854
dizziness	C0027497
Nausea	C0027497
still tired	C0013144
Drowsiness	C0013144
low libido	C0855242
Disturbance in sexual arousal	C0855242
#messed	C0234458
Abnormal dreams	C0234458
loneliness	C0086132
Depressive Symptoms	C0086132
today i think i'm hilarious	C2939186
Disturbance in mood	C2939186
parotid gland swelling	C0030583
Parotitis	C0030583
mood swings	C2939186
Disturbance in mood	C2939186
dizzy	C0012833
Dizziness	C0012833
miserable	C0344315
Depressed mood	C0344315
weak	C0151786
Muscle Weakness	C0151786
withdrawal	C0087169
Withdrawal Symptoms	C0087169
shaking	C0040822
Tremor	C0040822
pre-prozac-weight-gain-nightmare	C0043094
Weight Gain	C0043094
thinning skin	C0423757
Skin thinness	C0423757
feel weird	C0278061
Abnormal mental state	C0278061
Fatigue	C0015672
had me in my feelings	C2939186
Disturbance in mood	C2939186
ADD prevents me from focusing	C0041671
Attention Deficit Disorder	C0041671
Moving immensely slow	C0015672
Fatigue	C0015672
ready for a nap	C0013144
Drowsiness	C0013144
#CantWin	C0344315
Depressed mood	C0344315
getting distracted every 5 minutes	C0233414
Disturbance in attention	C0233414
emotionally numb	C0233459
Emotional disorder	C0233459
sick	C0027497
Nausea	C0027497
confused	C0009676
Confusion	C0009676
fucks me up	C0278061
Abnormal mental state	C0278061
#bipolar	C0005586
Bipolar Disorder	C0005586
had me in my feelings	C0085633
Mood swings	C0085633
ADD	C0041671
Attention Deficit Disorder	C0041671
Paranoid reaction	C0151836
in my feelings	C0235169
Excitability	C0235169
my mom wont let me not take adderall i hate this	C1510472
Drug Dependence	C1510472
paralyzed	C0522224
Paralysed	C0522224
had me in my feelings	C2939186
Disturbance in mood	C2939186
I'm crazy	C0525045
Mood Disorders	C0525045
feel drunk	C0522172
Feeling drunk	C0522172
barley eating	C1971624
Loss of appetite (finding)	C1971624
anxiety	C0003467
Anxiety	C0003467
Joint was super swollen	C0152031
Joint swelling	C0152031
keeping me awake	C0393761
Middle insomnia	C0393761
dizziness	C0220870
Lightheadedness	C0220870
calms me down	C0235195
Sedated state	C0235195
got me to the ceiling	C0235169
Excitability	C0235169
hyper	C0424295
Hyperactive behavior	C0424295
not falling down dizzy	C0234987
Dizziness postural	C0234987
yawns	C0043387
Yawning	C0043387
mouth taste terrible	C0541799
Bad taste	C0541799
doesn't even make me attentive	C0858899
Attention concentration difficulty	C0858899
itching	C0042256
Vaginal itching	C0042256
Still awake	C0917801
Sleeplessness	C0917801
got me to the ceiling	C0235169
Excitability	C0235169
bonkers	C0278061
Abnormal mental state	C0278061
weight loss	C0043096
Body Weight decreased	C0043096
insomnia	C0393760
Initial insomnia	C0393760
MY MIND IS GONE	C0004936
Mental disorders	C0004936
Bulimia	C0006370
#bipolar	C0005586
Bipolar Disorder	C0005586
zombies	C0541854
Daytime sleepiness	C0541854
back ache	C0004604
Back Pain	C0004604
trying to get tired	C0043012
Wakefulness	C0043012
Numbness	C0028643
#dreams whilst taking #Effexor are #crazy #messed up &amp; totally #weird	C0235966
Dreaming excessive	C0235966
panic attacks	C0700031
Anxiety attack	C0700031
Panic Attacks	C0086769
Daytime sleepiness	C0541854
still got me up	C0043012
Wakefulness	C0043012
panic attack	C0086769
Panic Attacks	C0086769
withdrawals	C0087169
Withdrawal Symptoms	C0087169
feel like I was hit by a train.	C0030193
Pain	C0030193
head spinning a little	C0012833
Dizziness	C0012833
shitty	C0344315
Depressed mood	C0344315
awake approx 36-38 hours	C0043012
Wakefulness	C0043012
I'm scared	C0003467
Anxiety	C0003467
pain	C0030193
Pain	C0030193
tapering off prednisone	C0152128
Drug withdrawal syndrome	C0152128
